Timestamp,Raw Z,Normalized Z,Smoothed Z,Rep Detected,isIdle,Current Reps,Current Sets,Exercise
2025-04-12T18:42:56.068010,-9.76,-0.10999999999999943,-0.11399999999999935,0,1,0,0,BicepCurl
2025-04-12T18:42:56.114670,-9.76,-0.10999999999999943,-0.11199999999999939,0,1,0,0,BicepCurl
2025-04-12T18:42:56.117312,-9.76,-0.10999999999999943,-0.11199999999999939,0,1,0,0,BicepCurl
2025-04-12T18:42:56.120779,-9.75,-0.09999999999999964,-0.10799999999999947,0,1,0,0,BicepCurl
2025-04-12T18:42:56.170097,-9.76,-0.10999999999999943,-0.10799999999999947,0,1,0,0,BicepCurl
2025-04-12T18:42:56.172893,-9.7,-0.049999999999998934,-0.09599999999999938,0,1,0,0,BicepCurl
2025-04-12T18:42:56.221289,-9.88,-0.23000000000000043,-0.11999999999999958,0,1,0,0,BicepCurl
2025-04-12T18:42:56.223917,-9.82,-0.16999999999999993,-0.13199999999999967,0,1,0,0,BicepCurl
2025-04-12T18:42:56.226108,-9.62,0.030000000000001137,-0.10599999999999951,0,1,0,0,BicepCurl
2025-04-12T18:42:56.270390,-9.85,-0.1999999999999993,-0.12399999999999949,0,1,0,0,BicepCurl
2025-04-12T18:42:56.276151,-9.83,-0.17999999999999972,-0.14999999999999963,0,1,0,0,BicepCurl
2025-04-12T18:42:56.333729,-9.68,-0.02999999999999936,-0.10999999999999943,0,1,0,0,BicepCurl
2025-04-12T18:42:56.336480,-9.71,-0.0600000000000005,-0.08799999999999955,0,1,0,0,BicepCurl
2025-04-12T18:42:56.340500,-9.96,-0.3100000000000005,-0.15599999999999986,0,1,0,0,BicepCurl
2025-04-12T18:42:56.378359,-9.91,-0.2599999999999998,-0.16799999999999998,0,1,0,0,BicepCurl
2025-04-12T18:42:56.380796,-9.69,-0.03999999999999915,-0.13999999999999985,0,1,0,0,BicepCurl
2025-04-12T18:42:56.434740,-9.48,0.16999999999999993,-0.1,0,1,0,0,BicepCurl
2025-04-12T18:42:56.437388,-9.68,-0.02999999999999936,-0.09399999999999978,0,1,0,0,BicepCurl
2025-04-12T18:42:56.443854,-10.17,-0.5199999999999996,-0.1359999999999996,0,1,0,0,BicepCurl
2025-04-12T18:42:56.484195,-13.12,-3.469999999999999,-0.7779999999999994,0,1,0,0,BicepCurl
2025-04-12T18:42:56.486558,-15.1,-5.449999999999999,-1.8599999999999994,0,1,0,0,BicepCurl
2025-04-12T18:42:56.530470,-15.83,-6.18,-3.1299999999999994,0,1,0,0,BicepCurl
2025-04-12T18:42:56.532867,-14.93,-5.279999999999999,-4.18,0,1,0,0,BicepCurl
2025-04-12T18:42:56.541357,-13.49,-3.84,-4.843999999999999,0,1,0,0,BicepCurl
2025-04-12T18:42:56.582545,-11.7,-2.049999999999999,-4.56,0,1,0,0,BicepCurl
2025-04-12T18:42:56.594361,-10.47,-0.8200000000000003,-3.6339999999999995,0,1,0,0,BicepCurl
2025-04-12T18:42:56.635047,-10.91,-1.2599999999999998,-2.6499999999999995,0,1,0,0,BicepCurl
2025-04-12T18:42:56.637245,-12.98,-3.33,-2.26,0,1,0,0,BicepCurl
2025-04-12T18:42:56.680511,-13.24,-3.59,-2.21,0,1,0,0,BicepCurl
2025-04-12T18:42:56.682752,-12.68,-3.0299999999999994,-2.4059999999999997,0,1,0,0,BicepCurl
2025-04-12T18:42:56.744506,-11.46,-1.8100000000000005,-2.604,0,1,0,0,BicepCurl
2025-04-12T18:42:56.747613,-11.25,-1.5999999999999996,-2.6719999999999997,0,1,0,0,BicepCurl
2025-04-12T18:42:56.826623,-11.25,-1.5999999999999996,-2.3259999999999996,0,1,0,0,BicepCurl
2025-04-12T18:42:56.829500,-12.6,-2.9499999999999993,-2.1979999999999995,0,1,0,0,BicepCurl
2025-04-12T18:42:56.836095,-12.84,-3.1899999999999995,-2.2299999999999995,0,1,0,0,BicepCurl
2025-04-12T18:42:56.838391,-12.7,-3.049999999999999,-2.4779999999999993,0,1,0,0,BicepCurl
2025-04-12T18:42:56.842768,-12.17,-2.5199999999999996,-2.6619999999999995,0,1,0,0,BicepCurl
2025-04-12T18:42:56.888686,-11.43,-1.7799999999999994,-2.6979999999999995,0,1,0,0,BicepCurl
