Timestamp,Raw Z,Normalized Z,Smoothed Z,Rep Detected,isIdle,Current Reps,Current Sets
2025-04-12T14:31:03.934445,-9.69,-0.03999999999999915,-0.04799999999999969,0,1,0,0
2025-04-12T14:31:03.937202,-9.71,-0.0600000000000005,-0.04599999999999973,0,1,0,0
2025-04-12T14:31:03.943918,-9.71,-0.0600000000000005,-0.04599999999999973,0,1,0,0
2025-04-12T14:31:03.983197,-9.7,-0.049999999999998934,-0.04999999999999964,0,1,0,0
2025-04-12T14:31:03.986007,-9.69,-0.03999999999999915,-0.04999999999999964,0,1,0,0
2025-04-12T14:31:04.046783,-9.68,-0.02999999999999936,-0.04799999999999969,0,1,0,0
2025-04-12T14:31:04.049241,-9.7,-0.049999999999998934,-0.045999999999999375,0,1,0,0
2025-04-12T14:31:04.051503,-9.69,-0.03999999999999915,-0.04199999999999911,0,1,0,0
2025-04-12T14:31:04.082030,-9.68,-0.02999999999999936,-0.03799999999999919,0,1,0,0
2025-04-12T14:31:04.085140,-9.69,-0.03999999999999915,-0.03799999999999919,0,1,0,0
2025-04-12T14:31:04.116594,-9.69,-0.03999999999999915,-0.03999999999999915,0,1,0,0
2025-04-12T14:31:04.152654,-9.69,-0.03999999999999915,-0.03799999999999919,0,1,0,0
2025-04-12T14:31:04.155681,-9.7,-0.049999999999998934,-0.03999999999999915,0,1,0,0
2025-04-12T14:31:04.160181,-9.69,-0.03999999999999915,-0.04199999999999911,0,1,0,0
2025-04-12T14:31:04.200109,-9.69,-0.03999999999999915,-0.04199999999999911,0,1,0,0
2025-04-12T14:31:04.206878,-9.69,-0.03999999999999915,-0.04199999999999911,0,1,0,0
2025-04-12T14:31:04.246736,-9.7,-0.049999999999998934,-0.04399999999999906,0,1,0,0
2025-04-12T14:31:04.251868,-9.72,-0.07000000000000028,-0.047999999999999335,0,1,0,0
2025-04-12T14:31:04.305576,-9.7,-0.049999999999998934,-0.04999999999999929,0,1,0,0
2025-04-12T14:31:04.309196,-9.67,-0.019999999999999574,-0.045999999999999375,0,1,0,0
2025-04-12T14:31:04.318248,-9.69,-0.03999999999999915,-0.045999999999999375,0,1,0,0
2025-04-12T14:31:04.377054,-9.7,-0.049999999999998934,-0.045999999999999375,0,1,0,0
2025-04-12T14:31:04.380329,-9.69,-0.03999999999999915,-0.03999999999999915,0,1,0,0
2025-04-12T14:31:04.383597,-9.68,-0.02999999999999936,-0.035999999999999234,0,1,0,0
2025-04-12T14:31:04.437157,-9.7,-0.049999999999998934,-0.04199999999999911,0,1,0,0
2025-04-12T14:31:04.440378,-9.7,-0.049999999999998934,-0.04399999999999906,0,1,0,0
2025-04-12T14:31:04.502862,-9.7,-0.049999999999998934,-0.04399999999999906,0,1,0,0
2025-04-12T14:31:04.505949,-9.68,-0.02999999999999936,-0.04199999999999911,0,1,0,0
2025-04-12T14:31:04.509067,-9.69,-0.03999999999999915,-0.04399999999999906,0,1,0,0
2025-04-12T14:31:04.521332,-9.7,-0.049999999999998934,-0.04399999999999906,0,1,0,0
2025-04-12T14:31:04.558704,-9.7,-0.049999999999998934,-0.04399999999999906,0,1,0,0
2025-04-12T14:31:04.565902,-9.68,-0.02999999999999936,-0.03999999999999915,0,1,0,0
2025-04-12T14:31:04.606845,-9.68,-0.02999999999999936,-0.03999999999999915,0,1,0,0
2025-04-12T14:31:04.617974,-9.67,-0.019999999999999574,-0.035999999999999234,0,1,0,0
2025-04-12T14:31:04.677784,-9.69,-0.03999999999999915,-0.033999999999999274,0,1,0,0
2025-04-12T14:31:04.680553,-9.7,-0.049999999999998934,-0.033999999999999274,0,1,0,0
2025-04-12T14:31:04.685280,-9.69,-0.03999999999999915,-0.035999999999999234,0,1,0,0
2025-04-12T14:31:04.726747,-9.69,-0.03999999999999915,-0.03799999999999919,0,1,0,0
2025-04-12T14:31:04.728989,-9.69,-0.03999999999999915,-0.04199999999999911,0,1,0,0
2025-04-12T14:31:04.737753,-9.69,-0.03999999999999915,-0.04199999999999911,0,1,0,0
2025-04-12T14:31:04.768563,-9.69,-0.03999999999999915,-0.03999999999999915,0,1,0,0
2025-04-12T14:31:04.800026,-9.7,-0.049999999999998934,-0.04199999999999911,0,1,0,0
2025-04-12T14:31:04.805311,-9.67,-0.019999999999999574,-0.03799999999999919,0,1,0,0
2025-04-12T14:31:04.849273,-9.71,-0.0600000000000005,-0.04199999999999946,0,1,0,0
2025-04-12T14:31:04.854070,-9.68,-0.02999999999999936,-0.0399999999999995,0,1,0,0
2025-04-12T14:31:04.891796,-9.68,-0.02999999999999936,-0.03799999999999955,0,1,0,0
2025-04-12T14:31:04.894192,-9.71,-0.0600000000000005,-0.039999999999999855,0,1,0,0
2025-04-12T14:31:04.913632,-9.68,-0.02999999999999936,-0.041999999999999815,0,1,0,0
